infraction_description,standard_fine_amount,total_tickets,first_seen_date,last_seen_date
STOP - IN UNDERPASS,60.00,2870,2008-02-22,2024-01-30
STND ACCESSIBLE LOAD NO PERMIT,450.00,2783,2008-04-28,2024-01-29
STAND IN DISABLED NOT DROP OFF,450.00,2749,2008-04-25,2024-01-31
PARK VEHICLE WHILE NOT IN PARK,100.00,2577,2008-04-02,2023-01-19
STOP-WITHIN (INTERSCTN/PED X),60.00,2295,2008-01-04,2024-01-31
STAND VEHICLE WHERE PROHIBITED,55.00,2278,2008-01-12,2019-07-23
STOP BSD OBSTR RDWY-IMPEDE TRF,60.00,2277,2008-01-02,2022-05-22
STAND TAXI-SIGNED STD-NOT HIRE,60.00,2199,2014-01-23,2024-01-31
PARK UNAUTH VEH IN HDCPD SPACE,150.00,2154,2008-01-01,2017-04-03
PARK-ISSUED CARD NOT DISPLAYED,30.00,2067,2008-01-04,2024-01-29
PARK-15M OF DEAD END STREET,40.00,2009,2008-01-10,2024-01-31
STOP ON CENTRE BOULEVARD,60.00,1963,2008-01-08,2024-01-31
PARK-FEE NOT PD FOR TIME USED,30.00,1957,2008-03-13,2022-05-10
STAND IN ACCESSIBLE NO PERMIT,450.00,1891,2008-04-27,2024-01-28
STOP ADJ TO CENTRE BOULEVARD,60.00,1726,2008-01-05,2024-01-24
PARK BUS PROHIBITED TIME,300.00,1717,2011-01-15,2024-01-06
PARK-30.5M FIRE HALL OPP SIDE,40.00,1646,2008-01-21,2024-01-17
STAND VEH.-SIGNED HWY-RUSH HR,150.00,1594,2014-01-23,2024-01-31
PARK IN DISABLED NO PERMIT,0.00,1512,2008-03-14,2023-01-26
STOP - ON BRIDGE,60.00,1475,2008-02-02,2023-01-27
STOP-ALONGSIDE EXCAV./OBSTR.,60.00,1220,2008-01-01,2024-01-23
PARK MORE THAN 7DAYS NO PERMIT,30.00,1218,2008-01-17,2024-01-30
PARK - ON FRONT YARD,50.00,1208,2008-01-14,2024-01-31
PARK ONSTRT ACCESSIBLE NO PRMT,450.00,1197,2008-05-06,2024-01-29
STAND VEH.-PSGR LD ZN DAY TIME,60.00,1165,2015-08-06,2024-01-28
FAIL PARK/STP NEAR RIGHT LIMIT,30.00,1105,2008-02-06,2024-01-29
PARK TAXI FOR HIRE-UNAUTH LOC,40.00,1060,2014-01-24,2024-01-25
